,id,comment,author,likecount,publishedAt
0,Ugxy0sGLumAL1A8oIqx4AaABAg,На 18:47 когда Евграф скривил рожицу почему-то захотелось чтобы на фоне играла  pantera - walk🤘,Han Solo,0,2021-07-06T12:29:51Z
1,UgxFCl-Sdqy7ZzQZoYR4AaABAg,"о, новый модный джиггер)",Tom S-ov,0,2021-07-06T12:05:41Z
2,UgwIIKEzx-cdEH_pUSZ4AaABAg,"Надо было этот ролик записывать следующим после бронепоезда - сразу бы проверили, что работает, а что - нет",Alexander Bulanov,0,2021-07-06T12:05:04Z
3,Ugx46tJfqJiAOUr1CmR4AaABAg,Да ещё скидка не на все города,илья шумков,1,2021-07-06T12:04:15Z
4,UgxxcD_GYdc5bcjm3kV4AaABAg,"Евграф, там надо было 6 дэшей, т.к. ты все делал в 3 раза больше",Петя Петрович,0,2021-07-06T11:58:16Z
5,UgyoL7V06iN357wX7ex4AaABAg,"Встречайте нового супергероя: БИОЧЕЛОВЕК, ЧЕЛОВЕК-ЕВГРАФ!",Scar,0,2021-07-06T11:56:08Z
6,UgzeR8P7xMIcRoec9dt4AaABAg,Посвети,YaKaF,0,2021-07-06T11:49:25Z
7,Ugy6fyqdu90-GgdgYLF4AaABAg,"а почему разные шейкеры, то Бостонский то другой разница есть?",Бачинский Александр,0,2021-07-06T11:37:40Z
8,UgyCt0opKxC1-z070zF4AaABAg,"Создатели данных коктейлей:
- А давайте придумаем 4 разных коктейля, вообще не похожих по составу?
- А давай, только назвем их по другому!
- Ни слова больше....",Руслан Козицький,0,2021-07-06T11:31:42Z
9,Ugyd8aQItXLcbTKErxR4AaABAg,Зависть такому кол-ву льда,Хугин Мунин,0,2021-07-06T11:30:46Z
10,UgxkIF4GBH_C52top6J4AaABAg,"В смысле пить с утра плохой совет???)
Выпил утром - весь день свободен!)",Киэри Нэйт,1,2021-07-06T11:13:18Z
11,UgwAcAc2xakEIfwCttR4AaABAg,"смотреть едим тв надо так, чтоб твои комменты видели в слудующих выпусках:)",Дмитрий Рыкулин,0,2021-07-06T11:08:51Z
12,UgzZla350XTi6p9pLC54AaABAg,Виталика не слушайте 🤣🤣🤣,Тимур Ботабаев,0,2021-07-06T11:06:31Z
13,Ugwh7Cu_33YkJnuFzRN4AaABAg,Срочно нужно запилить 8ми часовое видео с шейкующим Евграфом!,Vadim Varlamov,0,2021-07-06T10:56:58Z
14,UgzXIutW5-JgGrJXmNF4AaABAg,Ура! Я в телевизоре!,ЧайныйПакетик,0,2021-07-06T10:54:32Z
15,Ugy61wbCvCmTJ1jrnJJ4AaABAg,Набор коктейлей для учителей труда в школе.,UltraPirojok3000,0,2021-07-06T10:50:58Z
16,UgxthZeXi_aXg8Fsnup4AaABAg,12:21,Marcus Aurelius,0,2021-07-06T10:49:03Z
17,UgybO64x2dFlA7AbzTN4AaABAg,Иди в норму :),glotovden,0,2021-07-06T10:47:17Z
18,Ugza7PEy_nucUBhpO8V4AaABAg,"Не хватает сурового выражения лица Евграфа, когда он стирует коктейли. А то чо только при шейке?",Василий Журавлев,0,2021-07-06T10:44:11Z
19,Ugx0x7DUaFYbJ-5NWNR4AaABAg,На заставке фото буд-то Вам прививку поставили,Sakhmeta,0,2021-07-06T10:41:42Z
20,UgxMmCJyWPfdmQ1QstR4AaABAg,Шейкеовать с похмелья - это очень плохая идея. Только настоящий друг может шейкануть похмельному другу. Если вы понимаете о чём я.,Павел Ютяев,0,2021-07-06T10:30:52Z
21,UgwLD80dn_J7ya-1VGJ4AaABAg,"Изверги, покормите Виталика! Он скоро просвечивать начнёт.",Егошин Филипп,4,2021-07-06T10:29:35Z
22,UgzxiSIgxkQh5h9QeJZ4AaABAg,требую в конце показывать неудачные дубли с доставанием нужных пузырей не глядя))),Александр Л.,6,2021-07-06T10:21:16Z
23,UgzoXe75A5nCQAGoPwd4AaABAg,"Лёд прекрасный.
Как раз под уровень ценителя Виталика.",арсений николаенко,0,2021-07-06T10:14:59Z
24,Ugx9nSKbVMMFNHovcf94AaABAg,"Сколько не смотрел про корпс ревайверы, все забывают про номер 3 (коньяк, кампари, куантро, лимонный сок). Этот экземпляр может побороться с номером 2",Aleksei Maslennikov,0,2021-07-06T10:14:38Z
25,UgyToKps447fqgOUBg94AaABAg,Я обязана спросить что такое содовая 🤣,Zhanel Sh,0,2021-07-06T10:09:57Z
26,Ugz_mA2TYsB-05xREaF4AaABAg,"-Он совсем другой, Виталика не слушайте.
А, ну вот и первый Евграф вернулся, наконец-то только его мнение в видео самое верное. А что, в РФ уже два человека с клонами теперь?",Фон Микро,0,2021-07-06T10:07:52Z
27,Ugwrqp2HeQ19xKwXUiV4AaABAg,Судя по всему вакцина Евграфу не помогла 😅,Иван Минеев,0,2021-07-06T10:07:04Z
28,Ugx2umVn_gvB0C1_l4N4AaABAg,"Виталик с каждым роликом всё сильнее худеет, прям совсем осунулся уже(",Пётр 2008,0,2021-07-06T10:03:19Z
29,UgxYdeN6uSR68oV_dk94AaABAg,"Евграф, почитай новое законодательство о том, что теперь в этой стране шампанское, ты не прав🤣✨",Трофимов Димон,0,2021-07-06T10:01:31Z
30,UgwIVt0al5zl1BsshUN4AaABAg,хочу чтоб посвятили мне шейк) буду показывать детям и когда-нибудь внукам,Александр Мачеха,0,2021-07-06T09:57:13Z
31,UgykJNifbkoL5mAO4Nx4AaABAg,"на ваши напитки льда не наберешься))),а если заменить охлажденной водой какие могут быть варианты?",Pavel P,0,2021-07-06T09:56:43Z
32,Ugw4cFb781CNmiKSPjF4AaABAg,Евграф! Сделай обзор своего бара! и покажи его с ракурса где камера стоит!,El Bananas,1,2021-07-06T09:54:58Z
33,UgxCIoiM15QDdA9AYBR4AaABAg,"а где видио в каком состоянии они студию закрывают, в живом или уже не совсем....?",INTERCEPTOR 24 rus,0,2021-07-06T09:51:13Z
34,Ugx8F2zYeXww35mJ7PV4AaABAg,"Интересно, после дегустации, коктейли допиваете?",Bro Live,0,2021-07-06T09:47:55Z
35,UgzopObGlMcSDoRxbQJ4AaABAg,"Судя по льду, Евграф прикупил ледогенератор? Будет обзорчик?",Narryel,0,2021-07-06T09:41:39Z
36,Ugw9x0uyDG8uC0VXJfp4AaABAg,"""Steam"" или ""Stim""?? Первое да - ""Пар"", второе практически дословно - ""стимулятор"" (зачастую трактуется как мед.препарат).",Sobskii,0,2021-07-06T09:41:07Z
37,UgyWSZqGz4LaF3_DyoB4AaABAg,dead inside на виталике,DikAn,0,2021-07-06T09:37:44Z
38,UgzdZv80PPOKI7gZ64x4AaABAg,"Евграф🤚если читаеешь, ставь лайк и жду зеленую фею!!!!!",Павел Смирнов,0,2021-07-06T09:32:15Z
39,UgzIqnI8G16DAxLsIuV4AaABAg,"Привет Евграф. Прошу тебя, как лысый лысого, посвяти шейк моей прекрасной жене Наталье Киясь.",Jeka Re,0,2021-07-06T09:32:02Z
