,id,comment,author,likecount,publishedAt
0,Ugy6jlaIN2dE0z46bfN4AaABAg,"Stalker Anomaly Escape From Pripryat. Strongly  recommended to install,  play and record for us!",Filip Naumienko,1,2021-07-09T08:45:57Z
1,Ugzv6vP-YFI1lRdxA4x4AaABAg,"быстро пролетели 4 минуты, посмотрю старые ролики)",Наким Терасима,0,2021-07-09T08:15:05Z
2,UgzTKVdw_gsM5MLVTxx4AaABAg,"Going through the effort of downloading an entire soup mod to not even show the real soup madness but generic stalker bugs....

bruh",Muhammad Troll,0,2021-07-09T01:03:51Z
3,UgzhiduB6SG6kuSfkAB4AaABAg,Это солянка или оп ?,Wind Dude,1,2021-07-08T22:57:27Z
4,UgwJn3fKTwbLJquS1Rx4AaABAg,"Por ti compré Stalker manin, gracias.",jose David Lastre,0,2021-07-08T21:42:15Z
5,UgzZ1E0wFvotO8Wytr54AaABAg,2:04 Is that Stachu Jones xD?,Fuze,0,2021-07-08T21:35:20Z
6,UgwTXzEyVEMjh3DrRoB4AaABAg,"That Materialismo reference tho
Delightful",KillEverybody,0,2021-07-08T14:58:53Z
7,UgzY3P0L8mrSyN51Ffh4AaABAg,2:18 zto za xyinay,PI MASTER PKT?,1,2021-07-08T14:01:36Z
8,UgxUxzpdk6jat7UWTLN4AaABAg,Василий васькин молодец полицик дигер и боец,PI MASTER PKT?,1,2021-07-08T14:00:53Z
9,UgzYLbtmZ5lY-Y-GaJl4AaABAg,Ты русский,PI MASTER PKT?,1,2021-07-08T13:58:08Z
10,UgwXEmcH9Z-cDrokRIt4AaABAg,Nikolai?,Tytyinet Play,0,2021-07-08T13:14:30Z
11,Ugz8BcOaRGxCuRHOH-p4AaABAg,feels like a Nikolai rip-off...,Alexis2andsoOn,0,2021-07-08T11:19:41Z
12,UgxwwY6BPopB3qcIIkt4AaABAg,Брат Николая??!?!?,Sir,0,2021-07-08T02:59:22Z
13,Ugx8QOa9PFIdoCkDsVR4AaABAg,"Comulative Pack 2 is JP2 right? As in, the More Clutter, Less Polish one right?",Kuz Netsov,0,2021-07-08T01:21:41Z
14,UgyiwQhtuibqRzp03D14AaABAg,Love the payday reference,LarryMou,1,2021-07-08T01:02:46Z
15,UgwYwcx5p3CG9-IR5tp4AaABAg,Dude please tell me how you got cp 2.1 too play in English. I have the set up on my pc and everytime I install in English it plays in Russian.,cob.web. salad,0,2021-07-07T15:44:25Z
16,UgxcQnHJ-g20Hb4bP2F4AaABAg,Васян это типо Николай 2.0? А так все отлично братан!,Жак Фреско,1,2021-07-07T15:24:19Z
17,UgyrdW6UE-5ZqNARgrJ4AaABAg,"Мля, Васян, хорош как всегда",Angel,0,2021-07-07T15:13:14Z
18,UgzGvHzQ0_07YRWxXWR4AaABAg,wow Tarkov ending),Тибетская Лиса,0,2021-07-07T14:29:11Z
19,Ugw6KvqfWo3M4-g2bUh4AaABAg,Лайк,Shtefan Sergey,0,2021-07-07T09:40:18Z
20,UgxzWfbHCa6cFmFJlaJ4AaABAg,Tarkov video when,Илья Апролов,0,2021-07-06T20:10:58Z
21,UgzKj6mKmQTUbxY7a0h4AaABAg,Pochemu tak malo views,Владимир Незлобин,0,2021-07-06T15:30:24Z
22,UgwiCIQpfOoVJqc9-GJ4AaABAg,3:30 i neeed a medic bag,dude1E37,0,2021-07-06T15:28:37Z
23,UgxPUnyuVU9vhSo68_F4AaABAg,extremely underrated.Keep going bro!,Killreal,1,2021-07-06T14:52:00Z
24,UgxkACk_mZ8M1h3yWw14AaABAg,He neeeed a medic baaag!,М Л,0,2021-07-06T10:37:48Z
25,UgyViLs90DDbTt22X1Z4AaABAg,Payday референс реально крут 🌚👌,Вячеслав Гербер,0,2021-07-06T10:29:22Z
26,UgyTA9CL1Rh2np8a91p4AaABAg,"TV:just drop
Stalker: X-ray error",Toxxi zone,0,2021-07-06T09:21:55Z
27,UgxMOUsJYp9u2vEicYx4AaABAg,Copy of the Nikolai -_-,Rage Gamer,0,2021-07-06T08:07:15Z
28,UgxlXeFKIQFGg3d1njB4AaABAg,Был Никита. Теперь Васян.,mudak,0,2021-07-06T07:30:16Z
