,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwIXMYVmzGfTVtw9SN4AaABAg,Едим ТВ,Какого именно? :-),2021-07-06T08:07:32Z,0
1,UgxPeBmsyyETDzvH2xR4AaABAg,Zhanel Sh,@Едим ТВ а соду куда сыпать?,2021-07-05T19:50:08Z,1
2,UgxPeBmsyyETDzvH2xR4AaABAg,Едим ТВ,https://youtu.be/PAQipiLwZFc,2021-07-05T01:48:43Z,1
3,UgwIDH9mrCME4pWKidJ4AaABAg,Feniks Schwarz,Обычно это стримом называется =),2021-07-02T22:30:48Z,0
4,UgxsYS5CH0zNJPaGR8t4AaABAg,Едим ТВ,Конечно.,2021-07-02T07:18:13Z,1
5,Ugx3U-6q5WFpp-6LduV4AaABAg,Ретрансляция,"@Reimu Hakurei много очень годных комментариев, автор не прислушиваться",2021-07-03T21:09:31Z,0
6,Ugx3U-6q5WFpp-6LduV4AaABAg,Reimu Hakurei,"половина комментариев про очередной бронепоезд и какую-то муть в духе - добавь в кровавую мэри не одну водку, а другую, типа новый коктейль",2021-07-03T12:53:38Z,2
7,UgynE1nCCasEgQOKQ914AaABAg,Едим ТВ,"Отдельного выпуска нет, но есть поиск по сайту",2021-07-01T22:28:59Z,0
8,Ugz0IACOwuz-0FYRr5J4AaABAg,Едим ТВ,У нас было несколько,2021-07-01T22:32:02Z,0
9,Ugw-NGQMZDLoLsZndMt4AaABAg,Едим ТВ,Вы узнали главный секрет барменов. Все коктейли — самогон с Буратино. Только никому не говорите,2021-07-01T22:33:07Z,4
10,Ugzb1kbk71dt7n-Ml4N4AaABAg,Едим ТВ,Да я и так каждый вторник в качестве бармена,2021-07-01T14:35:06Z,0
11,UgyrkqCYJ-reJncwe5p4AaABAg,Едим ТВ,"Вы нас с кем-то путаете. Ёрш остался на месте (и Рич-н-бич, и старый выпуск дома)",2021-07-01T12:42:04Z,1
12,UgzES2NG4Vofsnl79EV4AaABAg,Едим ТВ,"Вот видите, сами лучше нашли :-)",2021-07-01T14:10:02Z,1
13,UgzES2NG4Vofsnl79EV4AaABAg,Рифат Садеков,"@Едим ТВ бранка из Италии а Шток из Чехии + выдержка из статьи
Несмотря на принадлежность к одному и тому же виду алкоголя, Шток ни в коем случае нельзя путать с Бранкой – у этих напитков совершенно разный состав, «пересекающийся» только несколькими ингредиентами, и, соответственно, разный вкус.",2021-07-01T13:00:54Z,0
14,UgzES2NG4Vofsnl79EV4AaABAg,Едим ТВ,"Разные варианты одного и того же, скорее. Почитайте, в инете есть сравнения вроде",2021-07-01T12:42:39Z,0
15,UgxcBOXzlPBtn_j3sZR4AaABAg,Едим ТВ,Очень сложно. А без ваших советов-то совсем невмоготу.,2021-07-01T10:29:50Z,6
16,UgwHJAF0NJI36k6vTE14AaABAg,Mishagood,"Manarita - хорошие коктейли , с арбузом вообще хорошо.",2021-07-01T12:21:15Z,0
17,UgwHJAF0NJI36k6vTE14AaABAg,Андрей К.,"@Едим ТВ как грубо) но сообщение было замечено, разве это не плюс?)",2021-07-01T10:47:22Z,0
18,UgwHJAF0NJI36k6vTE14AaABAg,Едим ТВ,"Пока я вас не забаню, если быть точным",2021-07-01T09:48:45Z,2
19,UgymearBSh_nOshiwtB4AaABAg,Ян Тулинов,@Pavel Danelyuk Спасибо Павел.,2021-07-01T11:13:25Z,0
20,UgymearBSh_nOshiwtB4AaABAg,Pavel Danelyuk,@Ян Тулинов Он чувствительно слаще,2021-07-01T11:08:31Z,1
21,UgymearBSh_nOshiwtB4AaABAg,Ян Тулинов,@Едим ТВ Amaro Montenegro,2021-07-01T09:55:41Z,0
22,UgymearBSh_nOshiwtB4AaABAg,Едим ТВ,Амаро бывают разные.,2021-07-01T09:49:21Z,0
23,UgyZoy-wFadmZdXAiMR4AaABAg,Едим ТВ,"Не портятся, но выдыхаются потихоньку",2021-07-01T09:49:38Z,2
24,UgxGgV7HA0vSBkevbC14AaABAg,Дмитрий Реутов,"В олд фэшн, например",2021-07-06T10:59:12Z,0
25,Ugxix5WkDBpzf5cl16J4AaABAg,Дмитрий Реутов,Все правильно записал,2021-07-06T10:58:55Z,0
26,Ugxix5WkDBpzf5cl16J4AaABAg,Mishagood,"Глотки считать в кубометрах , литрах или куб. дюймах?  Ну и чем больше - тем лучше.",2021-07-01T12:41:02Z,1
27,Ugxix5WkDBpzf5cl16J4AaABAg,Андрей К.,"В целом все верно, но можно больше глотков 😀",2021-07-01T09:57:44Z,2
28,Ugz-_LcyZcZXYrepH8l4AaABAg,Едим ТВ,Никто не знает.,2021-07-01T09:05:11Z,5
29,UgxGKLczJU1bgZ475j94AaABAg,Narryel,Энзони топчик. у Steve the bartender классный видос,2021-07-01T10:33:43Z,0
30,UgxGKLczJU1bgZ475j94AaABAg,megaman13able,И белый Негрони еще),2021-07-01T09:37:51Z,0
31,Ugy6h9fOsOnV3JE4CYJ4AaABAg,Julia Mirvis,А машинистом кто будет? Феникс уже из пепла не восстанет...,2021-07-01T18:11:28Z,1
32,UgwKRigWiEdZRmsZkut4AaABAg,Едим ТВ,🤷‍♂️,2021-07-01T08:46:09Z,1
