"['https://www.youtube.com/watch?v=W1iSvIhjaBk', 'W1iSvIhjaBk', 'Think STALKER Think', '2021-06-04T12:18:06Z']"
"['https://www.youtube.com/watch?v=BAWMrcibjRs', 'BAWMrcibjRs', 'The Sigerous Mod Experience | STALKER', '2021-05-16T11:56:12Z']"
"['https://www.youtube.com/watch?v=MHWXAGRMq7Q', 'MHWXAGRMq7Q', 'The Escape From Tarkov Experience', '2021-04-24T10:59:03Z']"
"['https://www.youtube.com/watch?v=L39zVtnkcLw', 'L39zVtnkcLw', 'Romance in The Zone', '2021-04-01T07:38:19Z']"
"['https://www.youtube.com/watch?v=efu5k-kdNcU', 'efu5k-kdNcU', 'STALKER Solyanka Is Fun', '2020-10-19T19:42:55Z']"
"['https://www.youtube.com/watch?v=bx9Ak46wdTA', 'bx9Ak46wdTA', 'The Call Of Duty Modern Warfare.exe Experience', '2020-04-27T11:26:13Z']"
"['https://www.youtube.com/watch?v=Uy4TJrvDWeo', 'Uy4TJrvDWeo', 'CARAMELLDANSEN  | CoD Modern Warfare 2019 EDIT', '2020-04-22T22:03:29Z']"
"['https://www.youtube.com/watch?v=bbHW5rWHe8g', 'bbHW5rWHe8g', 'STALKER Modding Still Fun', '2020-02-23T17:00:56Z']"
"['https://www.youtube.com/watch?v=igG0351c9dU', 'igG0351c9dU', 'Bolgy Wolgy | Meanwhile in the Development of Clear Sky', '2019-12-21T19:39:18Z']"
"['https://www.youtube.com/watch?v=lwgqShlYeoE', 'lwgqShlYeoE', 'stalker.xd', '2019-11-15T20:31:13Z']"
"['https://www.youtube.com/watch?v=Qy3LBT9l-gk', 'Qy3LBT9l-gk', 'BACK to STALKER', '2019-09-12T13:27:16Z']"
"['https://www.youtube.com/watch?v=imTnWRY2Hpw', 'imTnWRY2Hpw', 'Old Good STALKER E', '2019-07-26T21:34:39Z']"
"['https://www.youtube.com/watch?v=dS3MEIEIi2c', 'dS3MEIEIi2c', 'Welcome To STALKER', '2019-06-18T14:05:46Z']"
"['https://www.youtube.com/watch?v=vgJEMaxca-w', 'vgJEMaxca-w', 'Everlasting STALKER', '2019-06-04T20:10:54Z']"
"['https://www.youtube.com/watch?v=ADX2HjYD3aQ', 'ADX2HjYD3aQ', 'Help Me, STALKER', '2019-03-25T14:15:55Z']"
"['https://www.youtube.com/watch?v=cYkdTftusyU', 'cYkdTftusyU', 'U Got That | Роман Хорс [715] Edition [715]', '2019-03-10T22:50:21Z']"
"['https://www.youtube.com/watch?v=OI4gIChWOk4', 'OI4gIChWOk4', 'Dark STALKER experience', '2019-03-01T13:56:33Z']"
"['https://www.youtube.com/watch?v=8Qo6RK2xKYs', '8Qo6RK2xKYs', 'stalker.exe', '2019-02-20T09:24:01Z']"
"['https://www.youtube.com/watch?v=HV-J3ctcdwA', 'HV-J3ctcdwA', 'STALKER HARD FLEX', '2019-02-05T17:09:16Z']"
"['https://www.youtube.com/watch?v=nz6JnUsLPag', 'nz6JnUsLPag', 'That&#39;s how STALKER works', '2019-02-01T01:04:27Z']"
"['https://www.youtube.com/watch?v=tnwNpouyKY4', 'tnwNpouyKY4', 'LOST to the LOST ALPHA', '2019-01-10T22:52:22Z']"
"['https://www.youtube.com/watch?v=VIETSApi_RQ', 'VIETSApi_RQ', 'STALKER... STALKER NEVER CHANGES', '2018-12-22T23:20:59Z']"
"['https://www.youtube.com/watch?v=P-nnkN_GRYg', 'P-nnkN_GRYg', 'So I installed a weird mod for STALKER', '2018-11-20T22:33:59Z']"
"['https://www.youtube.com/watch?v=phHgmJqUulw', 'phHgmJqUulw', 'HOW 2 DUTY', '2018-11-04T15:30:57Z']"
"['https://www.youtube.com/watch?v=XH8WBTKdOwY', 'XH8WBTKdOwY', 'STALKER but it&#39;s OBLIVION LOST', '2018-09-23T23:26:46Z']"
"['https://www.youtube.com/watch?v=b0RUrx1uZFo', 'b0RUrx1uZFo', 'Random STALKER Shitpost v2.0', '2018-08-30T22:54:12Z']"
"['https://www.youtube.com/watch?v=GFK4cpoMoo8', 'GFK4cpoMoo8', 'Dank Memetro Last Light Redux Thot Patrol', '2018-08-13T21:02:53Z']"
"['https://www.youtube.com/watch?v=m5twbY3Mwo0', 'm5twbY3Mwo0', 'Cursed STALKER game Shitpost', '2018-07-13T20:31:55Z']"
"['https://www.youtube.com/watch?v=wQ96jD78xqM', 'wQ96jD78xqM', 'Random STALKER Shitpost', '2018-06-30T23:49:11Z']"
"['https://www.youtube.com/watch?v=RI8r2RppDYs', 'RI8r2RppDYs', 'Dank Memetro 2033 Redux Thot Patrol', '2018-06-15T06:23:18Z']"
"['https://www.youtube.com/watch?v=3SHnXbcxo0k', '3SHnXbcxo0k', 'Stalker: Military shitpost', '2018-06-02T00:34:41Z']"
"['https://www.youtube.com/watch?v=1dnWJS0C_3I', '1dnWJS0C_3I', 'Stalker: Ecologl337 in a nutshell', '2018-05-21T23:44:05Z']"
"['https://www.youtube.com/watch?v=q9lzaipAv-k', 'q9lzaipAv-k', 'Stalker: True CLEAR SKY faction experience', '2018-05-07T17:08:57Z']"
"['https://www.youtube.com/watch?v=qINQgpvqfZw', 'qINQgpvqfZw', 'Stalker: Freedom propaganda in a nutshell', '2018-05-04T00:16:23Z']"
"['https://www.youtube.com/watch?v=h4D-FZFqqB0', 'h4D-FZFqqB0', 'Stalker: Twist of Memercs', '2018-04-30T20:03:33Z']"
"['https://www.youtube.com/watch?v=OvJ7JSXyhcc', 'OvJ7JSXyhcc', 'Stalker: When Im Military', '2018-04-26T20:36:00Z']"
"['https://www.youtube.com/watch?v=9hvW-0TF43E', '9hvW-0TF43E', 'STALKER FACTIONS IN A NUTSHELL', '2018-04-21T23:43:40Z']"
"['https://www.youtube.com/watch?v=kC6pkPG11B8', 'kC6pkPG11B8', 'Stalker: When Im Scientist', '2018-03-31T13:53:36Z']"
"['https://www.youtube.com/watch?v=_wCPheXgoQM', '_wCPheXgoQM', 'Stalker: Multiplayer experience', '2018-03-12T16:41:22Z']"
"['https://www.youtube.com/watch?v=eUnXlqolFiY', 'eUnXlqolFiY', 'Stalker: Wind of Memes', '2018-03-07T23:36:10Z']"
