,id,comment,author,likecount,publishedAt
0,UgwIXMYVmzGfTVtw9SN4AaABAg,Почему бы не сделать выпуск ме густа с обзором бара ?,Евгений Тупикин,0,2021-07-06T04:35:19Z
1,Ugx--qA1TqUaJypNB3J4AaABAg,"алкоголь и колла :)
да тут если взять 100 разных алкоголя и добавить коллу получиться 100 разных коктейля :))))
это прикол такой? 
А если еще коллу поменять на спрайт или фанту или на сок то еще тысяча коктейлей будет :)",Alex,0,2021-07-05T12:34:48Z
2,UgxPeBmsyyETDzvH2xR4AaABAg,А что такое содовая?,Zhanel Sh,1,2021-07-04T22:28:40Z
3,Ugy8xeICXuUcMzBOh1d4AaABAg,Смотрю видео ВАасилия и Евграфа и.... лысинка то у меня все больше и больше )),Олег Захаров,1,2021-07-04T14:35:59Z
4,UgwCP1qjnM7sQ7mzuI54AaABAg,А сделайте подбор коктейлей от подписчиков),петр труханов,0,2021-07-03T20:31:01Z
5,Ugw1tTF3cT-cD-LCIAR4AaABAg,А вкусно два вермута с гальяно и Фернет бранкой! Мне прям зашло.,Артур Б.,0,2021-07-03T19:53:52Z
6,UgwtPhswbfVPx-VWBC14AaABAg,"Ребят, я знаю что такое трудно достать(по крайней мере мне в Сибири),но может попробуете коктейли с tubi 60?",COHEN,1,2021-07-03T19:03:11Z
7,UgyLZ41iHU9QsAue-Mt4AaABAg,"Давно хотел что-то годное с ферне. Спасибо.
Можно еще что-нибудь с Бехеревкой?)",Сергей Оралов,0,2021-07-03T05:38:15Z
8,UgyMghYV0wC56CNIvBR4AaABAg,"Фениксу привет, знаком лично! Отличный парень.",Bergamotskiy,0,2021-07-02T18:36:20Z
9,UgwIDH9mrCME4pWKidJ4AaABAg,"запишите пожалуйста интервью с василием захаровым, очень хотелось бы посмотреть !",molodoy,0,2021-07-02T17:22:24Z
10,UgyiazTpyLr_RzBXhj14AaABAg,"Прошу подборку похмельных коктейлей, ""степная устрица"" и т.д. Очень надо, друг просил.",Сергей Машков,0,2021-07-02T16:49:15Z
