,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxgD2TM6UsUjTTBdD54AaABAg,EmotoZ,Me too man. Including the bullied part,2021-06-27T12:16:12Z,0
1,UgymhdK6Xto7p2LgY-d4AaABAg,夜NimRin,Hey as a gen z this is also my childhood and the ps1 men and black game that made shit my pants,2021-06-02T07:19:22Z,0
2,Ugzsk404kFMBJUdRHql4AaABAg,David Lee,The walk is mean af. More attitude than gratitude.,2021-05-15T06:53:44Z,0
3,UgzAIxit6Ck2zcnHHEB4AaABAg,Adam Cunningham,"It's by the same animation company that made Extreme Ghostbusters, that's why",2021-05-18T05:48:31Z,0
4,UgzGEizIwq2zTDDY5wx4AaABAg,upncmnh11,apologese i mean extreme ghostbusters .,2021-05-08T22:36:41Z,0
5,UgyL4TI7XsU2yNeAYER4AaABAg,Bonnie The Bunny,Yeah :'),2021-05-21T01:20:30Z,1
6,Ugwr7HFuVEk5m-5_Lpx4AaABAg,frikanetwork,Ikr the Tunes still BadAss,2021-02-14T15:49:20Z,0
7,UgyEAAxiB_pO5qD7sXZ4AaABAg,Wserthmar,That’s awesome! Must be great fun,2021-05-08T10:33:02Z,0
8,UgwVXNJekjZlI4sWEE54AaABAg,AlphaPredator,Any idea if this show is canon with the movies and where it fits in the timeline?,2020-12-13T19:27:16Z,0
9,UgyP9mPMar_dsmHoiZp4AaABAg,Wserthmar,but also jojo is overhyped,2021-05-08T10:35:10Z,1
10,UgyP9mPMar_dsmHoiZp4AaABAg,Evil Erub,"*anyone does something*

""OMG JOJO REFERENCE!""",2021-03-02T18:17:51Z,3
11,UgyP9mPMar_dsmHoiZp4AaABAg,fuck k-pop and tiktok,Damn bruh,2021-01-28T03:33:20Z,1
12,UgxRcv_xGVTt4hl4MnN4AaABAg,Wserthmar,Feel sorry for you,2021-05-08T10:36:26Z,0
13,UgxRcv_xGVTt4hl4MnN4AaABAg,Adam Cunningham,How is a show a show about aliens demonic?,2021-01-07T22:51:45Z,0
14,UgyWVhHBo7waA4NeC014AaABAg,Life = 42,111H770*,2020-10-25T01:50:28Z,0
15,UgxziWTO_41LNmbWXz54AaABAg,Stefano Pavone,"""The Neuralyser Syndrome"".",2021-04-20T17:51:12Z,1
16,Ugxn9lbEwv2EP9mUQZh4AaABAg,Imperial Diecast,"centurions and swat kats, my dude.",2020-09-11T23:45:16Z,1
17,UgzKqDgpfIIIx9vD-xJ4AaABAg,No name,yes but that's cool,2021-06-28T13:57:27Z,1
18,Ugy48CYLMNiV_B7qPEh4AaABAg,Angus Ng,Just like the Universal Studios ride at least it had Agent J.,2020-08-25T20:58:08Z,1
19,UgyNuVMoGVjMrXpzYFJ4AaABAg,james vanitas,It’d blow minds like a shotgun to the face,2020-12-05T04:22:29Z,0
20,Ugzszvm_RoPW6YvWHcV4AaABAg,Sazzax Eight,Watch it...it will all.make sense XD It was a great show,2020-05-30T19:53:39Z,0
21,UgyuILmC4xmLhhlrEhR4AaABAg,Shin Shaman,Scp is corny,2021-06-06T23:46:24Z,2
22,UgyuILmC4xmLhhlrEhR4AaABAg,General Obi-Wan Kenobi,Shut up and the my money!,2021-05-14T00:53:37Z,0
23,UgyuILmC4xmLhhlrEhR4AaABAg,TheKeithvidz,art style no.,2021-03-03T00:46:40Z,0
24,UgyuILmC4xmLhhlrEhR4AaABAg,Ridhwan Ramzi,That would be dope,2021-02-11T15:42:02Z,0
25,UgyuILmC4xmLhhlrEhR4AaABAg,Shinigami Phantom,That would be great.,2021-01-08T19:45:01Z,1
26,UgyDMWMkMwU9LBVxb-V4AaABAg,Han Daimond,Japan intro > American intro,2020-04-24T23:31:30Z,0
27,UgyDMWMkMwU9LBVxb-V4AaABAg,Jaevhon Douglas,Wrong DBZ Intro Is still The best,2020-04-24T23:01:43Z,0
28,UgwFfE2quP20pV1DHMJ4AaABAg,Courtney,"False, I'm afraid. Batman Beyond.",2020-04-17T21:49:36Z,0
29,Ugzgoi0Lxw2RNqXp2Vp4AaABAg,legoushque,"@Malek Douglas Telephasic Workshop, Rue The Whirl, Aquarius, Music is Math, Sunshine Recorder. I'm not saying that they're sounding exactly like MIB intro but there is something common between them.",2020-04-27T14:17:29Z,0
30,Ugzgoi0Lxw2RNqXp2Vp4AaABAg,Malek Douglas,legoushque What Boards of Canada tracks sound like this? Tried to get into them a while back,2020-04-27T13:42:05Z,0
31,UgzXsyBs31RCABdRFk54AaABAg,whooping muffin,Not better than the first one but strikes a better government sterile feel than the third movie. Whether its better than the third movie is up to personal taste.,2021-07-06T19:09:29Z,0
32,UgzXsyBs31RCABdRFk54AaABAg,J.H. Paree,First one was awesome. Cartoon is awesome. That’s all you need.,2021-05-07T07:59:32Z,2
33,UgzXsyBs31RCABdRFk54AaABAg,TheKeithvidz,first and third films were decent. A cartoon ran longer thus more concepts.,2021-03-03T00:47:43Z,3
34,UgzXsyBs31RCABdRFk54AaABAg,Evil Erub,I'm with you on that,2021-03-02T18:19:22Z,0
35,UgxjiVhC2BGL--Wx2sB4AaABAg,DT,That’s actually cool. I never thought of it that way,2020-04-04T06:42:36Z,0
36,UgyU--mAYOn12mUZDo54AaABAg,MrViral20,Just torrent them might as well....cartoons like these you won't see ever again,2020-04-20T17:47:44Z,0
37,UgxIGhaTztQDl-R_qCp4AaABAg,Ootfan788,Hell yeah,2020-02-11T10:05:02Z,0
38,UgwhBpGgZgtOxE4uoBx4AaABAg,Invader Zim,"Wait.
What IF THEY THINK WE'RE UGLY?
🤨🤡🤪👽💀",2019-11-30T04:34:39Z,0
39,UgwhBpGgZgtOxE4uoBx4AaABAg,Invader Zim,"You should get at least a thousand LIKE for that comment!!
😆😆
As for that question, in my opinion, no! I dont believe it will be a thing!!😂",2019-11-30T04:33:34Z,0
40,UgzosQhW1TlT4KPmfHJ4AaABAg,Invader Zim,"I know right? This track's DOPE.
👥👽👍👥",2019-12-25T02:03:17Z,1
41,UgzosQhW1TlT4KPmfHJ4AaABAg,Aprilia D.,JIM LATHAM PLS DO SOMETHING,2019-11-11T17:58:33Z,0
42,UgwBarMOBJIiudy1-qJ4AaABAg,Invader Zim,"This track is what we gonna chose for the Armadas invasion.
Track's DOPE.
👥👽👍👥",2019-12-25T02:04:50Z,0
43,UgzEZX_iqBurK-amPkx4AaABAg,Invader Zim,"It's a hidden gem. 
😎",2019-11-30T04:35:32Z,0
44,UgxwKkJlZT3gAXOLyzZ4AaABAg,MrOnepiecem7,"Fuck taco bell, try real mexican food",2020-04-25T05:28:11Z,0
45,UgxwKkJlZT3gAXOLyzZ4AaABAg,Raquel dos Santos,Xanadu 😂😂,2020-03-15T04:28:29Z,0
46,UgwObTVf53Gnm0YQKsZ4AaABAg,Invader Zim,"We dont blame ya. There's something about that tune....🤔
Oh well, I'm just gonna enjoy this!
😎🎵🔊🔉🔈🎶🎼🎧🎧🎶🎵🎼🎧🎧",2019-11-30T04:37:14Z,0
47,UgzyLNXGb6i8V5G5mqB4AaABAg,Invader Zim,No doubt.👥👽👥,2019-12-25T02:08:23Z,0
48,UgwAOHLiM62tmDyJNVd4AaABAg,Clay Wheeler,"Nah man, they were Granted access to Area 51 during the making of this Animated Series. That's why the whole Season of this cartoon is a badass. The newer MiB is just mehh",2019-08-23T14:24:35Z,0
49,UgwLQvKTHSvOG-gZviB4AaABAg,steve Johnson,That's because the cartoon is faithful the Comics. The movies were more of a comedy.,2019-09-04T19:23:24Z,1
50,Ugw5DDlvCRetufHd5SR4AaABAg,Moe Aln,Matt TooFast4U what a terrible identity,2019-07-18T15:07:11Z,0
51,Ugw5DDlvCRetufHd5SR4AaABAg,Matt,I would assume to give it it's own identity.,2019-07-18T13:08:00Z,0
52,UgyHJT7vpjSkUCoJIRN4AaABAg,Zicuro,"Porque la serie es mas ""oscura"" que el de la Pelicula en el cual es ""comedia"" en este caso  no tanto.",2019-06-29T21:13:34Z,0
53,UgwNe4MKE-M-lYfnTAl4AaABAg,Evan Miller,@unknown says me that's still fitting to the scenario be just made XD,2020-10-03T10:58:23Z,0
54,UgwNe4MKE-M-lYfnTAl4AaABAg,unknown says me,Best of best of the best SIR with honer he's so excited yet he has no clue why we here it's funny to me but y'all ain't laughing though,2020-08-25T04:25:50Z,1
