"['https://www.youtube.com/watch?v=98ttldmp-WY', '98ttldmp-WY', 'Купил PlayStation 2 в 2021 году. Как и зачем?', '2021-07-01T11:40:16Z']"
"['https://www.youtube.com/watch?v=TvG_DpxEVvc', 'TvG_DpxEVvc', 'Madworld | Часть 2', '2021-06-28T10:36:00Z']"
"['https://www.youtube.com/watch?v=EMokR38iEDk', 'EMokR38iEDk', 'MadWorld | Часть 1', '2021-06-21T09:51:47Z']"
"['https://www.youtube.com/watch?v=qYqQkUV_PfQ', 'qYqQkUV_PfQ', 'Call of Cthulhu. Shadow of the Comet | Зов Дурки. Тень Древних Шизов.', '2021-06-07T13:10:08Z']"
"['https://www.youtube.com/watch?v=IPMs7V0zp38', 'IPMs7V0zp38', 'Кратко про Risen (часть 6. Финал)', '2021-05-10T06:52:32Z']"
"['https://www.youtube.com/watch?v=wPWqY2Shfls', 'wPWqY2Shfls', 'Второй стрим на ютубе. Все будет хорошо!', '2021-05-06T14:56:57Z']"
"['https://www.youtube.com/watch?v=SZzcPbb_SWk', 'SZzcPbb_SWk', 'Кратко про Risen (часть 5)', '2021-04-23T15:58:44Z']"
"['https://www.youtube.com/watch?v=eyMZgdmqQME', 'eyMZgdmqQME', 'БЭБЭЙ УМЕЕТ ЧИТАТЬ', '2021-04-19T12:14:16Z']"
"['https://www.youtube.com/watch?v=41VCVkhu5Hg', '41VCVkhu5Hg', 'Первый стрим на ютубе. Что может пойти не так?', '2021-04-10T15:42:46Z']"
"['https://www.youtube.com/watch?v=jBhX2Kdqoyk', 'jBhX2Kdqoyk', 'Кратко про Risen (часть 4)', '2021-03-31T15:28:12Z']"
"['https://www.youtube.com/watch?v=Fi6hyAqKHTw', 'Fi6hyAqKHTw', 'Кратко про Risen (часть 3)', '2021-03-20T08:04:49Z']"
"['https://www.youtube.com/watch?v=BxVxDu0rPeM', 'BxVxDu0rPeM', 'Кратко про Risen (часть 2)', '2021-03-05T16:17:50Z']"
"['https://www.youtube.com/watch?v=GfN2gqn1SC8', 'GfN2gqn1SC8', 'Кратко про Risen (часть 1)', '2021-02-21T07:07:44Z']"
"['https://www.youtube.com/watch?v=NGBdP6vwC_M', 'NGBdP6vwC_M', 'Ну что там с Урожайском?', '2021-02-15T07:29:29Z']"
"['https://www.youtube.com/watch?v=_PM0c5BX94U', '_PM0c5BX94U', 'Урожайск. Серия 1. Перезалив.', '2021-02-13T16:17:03Z']"
"['https://www.youtube.com/watch?v=WoWOf2KBp1U', 'WoWOf2KBp1U', 'Как стать ютубером (урок 1)', '2021-02-12T12:03:37Z']"
"['https://www.youtube.com/watch?v=Bawq3ekXtZc', 'Bawq3ekXtZc', 'Red Faction 1 | Красный Копатель | Алый Майнкрафт', '2021-01-27T11:35:59Z']"
"['https://www.youtube.com/watch?v=bUJnbyPtY18', 'bUJnbyPtY18', 'Урожайск. Серия 2', '2021-01-19T11:37:22Z']"
"['https://www.youtube.com/watch?v=M2_FgwV2aPU', 'M2_FgwV2aPU', 'Гарри Поттер 3 (ПК)', '2020-12-27T07:38:23Z']"
"['https://www.youtube.com/watch?v=cctGtVNZoio', 'cctGtVNZoio', 'Бэбс и Бубс', '2020-12-05T18:29:02Z']"
"['https://www.youtube.com/watch?v=kcaO1Vf9yi8', 'kcaO1Vf9yi8', 'Вечно молодые игры', '2020-11-30T15:12:00Z']"
"['https://www.youtube.com/watch?v=V2u9JXMgQUo', 'V2u9JXMgQUo', 'Что-то определенно не так', '2020-11-18T11:19:33Z']"
"['https://www.youtube.com/watch?v=Ps0poEEsrzM', 'Ps0poEEsrzM', 'Бэбэй в Vampire: The Masquerade – Bloodlines (Часть 2)', '2020-11-11T18:04:04Z']"
"['https://www.youtube.com/watch?v=ZsTjpLeeO1E', 'ZsTjpLeeO1E', 'Бэбэй в Vampire: The Masquerade – Bloodlines (Часть 1)', '2020-10-30T18:31:22Z']"
"['https://www.youtube.com/watch?v=T0q5MWo41dk', 'T0q5MWo41dk', 'Dwarf Fortress. Великовинищинск', '2020-10-20T10:22:29Z']"
"['https://www.youtube.com/watch?v=rjkno51bOsE', 'rjkno51bOsE', 'Dwarf Fortress. Медвежий конец', '2020-10-11T06:53:48Z']"
"['https://www.youtube.com/watch?v=tLOottwj9nM', 'tLOottwj9nM', 'Кратко про Overlord Dark Legend (Часть 2)', '2020-10-03T19:09:30Z']"
"['https://www.youtube.com/watch?v=OgXAi_Rmvzc', 'OgXAi_Rmvzc', 'Кратко про Overlord Dark Legend (Часть 1)', '2020-09-26T06:46:21Z']"
"['https://www.youtube.com/watch?v=vmFfftv86dE', 'vmFfftv86dE', 'Монолитовец со смыслом', '2020-09-16T14:37:51Z']"
"['https://www.youtube.com/watch?v=6_04XJL042U', '6_04XJL042U', 'Пробую Stalker 1 Anomaly', '2020-09-08T10:31:17Z']"
"['https://www.youtube.com/watch?v=YuGhjFQYqZQ', 'YuGhjFQYqZQ', 'Домашний шизоид', '2020-08-31T16:37:17Z']"
"['https://www.youtube.com/watch?v=eKoZlrXG7TU', 'eKoZlrXG7TU', 'Кратко про Вангеры (Часть 4. Финал)', '2020-08-27T15:25:24Z']"
"['https://www.youtube.com/watch?v=5pd_8KHW3aw', '5pd_8KHW3aw', 'Кратко про Вангеры (Часть 3)', '2020-08-15T09:45:11Z']"
"['https://www.youtube.com/watch?v=YZ8teli9QBA', 'YZ8teli9QBA', 'Кратко про Вангеры (Часть 2)', '2020-07-30T10:51:32Z']"
"['https://www.youtube.com/watch?v=Q85UNox8i0o', 'Q85UNox8i0o', 'Кратко про Вангеры (Часть 1)', '2020-07-22T19:37:00Z']"
"['https://www.youtube.com/watch?v=HLHror7e_9A', 'HLHror7e_9A', 'C&amp;C Remastered', '2020-07-13T16:12:30Z']"
"['https://www.youtube.com/watch?v=Va8vRhXKrhQ', 'Va8vRhXKrhQ', 'The Legend of Kyrandia, Book Three. Malcolm&#39;s Revenge', '2020-06-30T12:33:57Z']"
"['https://www.youtube.com/watch?v=6KmbBcLehXo', '6KmbBcLehXo', 'War Thunder | Вкусный булка получен', '2020-06-22T09:39:42Z']"
"['https://www.youtube.com/watch?v=wOaRuwO4-Ps', 'wOaRuwO4-Ps', 'The Legend of Kyrandia, Book Two. Hand of Fate | Фэнтези про дураков', '2020-06-11T19:10:13Z']"
"['https://www.youtube.com/watch?v=TbpmL2tRP7I', 'TbpmL2tRP7I', 'Я всегда любил играть', '2020-05-30T11:07:48Z']"
"['https://www.youtube.com/watch?v=zpjUO94FjOo', 'zpjUO94FjOo', 'The Legend of Kyrandia, Book One | Сказка от создателей C&amp;C', '2020-05-24T10:32:27Z']"
"['https://www.youtube.com/watch?v=ZxOrR-6wD_8', 'ZxOrR-6wD_8', 'I have no mouth and I must scream | Детская адвенчура без сюжета', '2020-05-12T06:58:53Z']"
"['https://www.youtube.com/watch?v=zowS-A0kZaw', 'zowS-A0kZaw', 'Кратко про Ведьмак 1 (Часть 10)', '2020-04-27T18:02:15Z']"
"['https://www.youtube.com/watch?v=yqjQR-A5fPg', 'yqjQR-A5fPg', 'Кратко про Ведьмак 1 (Часть 9)', '2020-04-17T12:28:03Z']"
