,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugw5Ma-bZFlns-fO16N4AaABAg,Денис Коханенко,Как всегда КЛАСС . Жду новых видео .,2021-07-02T09:12:09Z,0
1,Ugw5Ma-bZFlns-fO16N4AaABAg,Аристократ,"Здравствуйте Увожаемый Аильдаирь . Как псайкер империума человечества .Предсказываю что следующий видос Будет минимум на 6 часов!  Ну или распилишь их на 2 части по 3,5 .Если вы меня убьёте вас найдут вашей паутине и отправят Вашу душу Сланешь , на ужин",2021-07-02T07:02:37Z,0
2,Ugw5Ma-bZFlns-fO16N4AaABAg,Gelu122,@R Z интересуют. Некоторые из этих тем есть в голосовании,2021-07-01T20:22:58Z,0
3,Ugw5Ma-bZFlns-fO16N4AaABAg,Андрей Пахомов,"@Николо Кеффри НРИ есть но на русском только хаки на днд, но генезисная система от ффг лучше",2021-07-01T17:28:45Z,0
4,Ugw5Ma-bZFlns-fO16N4AaABAg,Игорь Блекфайер,Предрагаю  видио статью про вселеною Вархамер 40000 о шагаюшей технике это Титаны Дредноуты  и  Имперских Рыцари,2021-07-01T16:36:29Z,0
5,UgwNyYhC9R_Vs1evZbF4AaABAg,Rian T,"@Gelu122 Разницы нет, никто не будет терпеть врагов у своей границы. Как я всегда говорю""Дурных нэма "".",2021-07-01T20:22:51Z,0
6,UgwNyYhC9R_Vs1evZbF4AaABAg,Gelu122,"есть одна маленькая, но существенная разница: Россия федерация, а Галактическая Республика - конфедерация (по своему устройству)",2021-07-01T20:16:43Z,0
7,UgzS25QkCqNI7dro78B4AaABAg,Ольга Васильева,Карак,2021-07-01T19:05:57Z,0
8,UgwSLeZfK65QU7ZaWrh4AaABAg,владислав жеребцо,40:30 теперь всё понятно.,2021-07-01T17:26:24Z,1
9,Ugy4w5rzTfEkU0YSrkV4AaABAg,Gelu122,"@Neil Dixson когда фанаты замеряли его корабль по некоторым признакам (считали от размера челнока и прочих известных вещей) выяснилось, что гидеоновский крейсер около 600-650 метров в длину",2021-07-01T20:21:43Z,0
10,Ugy4w5rzTfEkU0YSrkV4AaABAg,Neil Dixson,"Судя по всему метров в 200. Он небольшой, тоже лёгкий крейсер.",2021-07-01T14:20:22Z,0
11,Ugzu3I5tMMKpNuHfawF4AaABAg,Саша Тарских,"@Neil Dixson нет, видео реально 43 минуты",2021-07-01T14:52:06Z,0
12,Ugzu3I5tMMKpNuHfawF4AaABAg,Neil Dixson,Это ж шутка?,2021-07-01T14:21:01Z,0
13,Ugzl_PsOzX0NBJ0DW194AaABAg,Neil Dixson,"Постой у газовой горелки. Температура тоже под 1000 градусов. Как, начал плавиться?",2021-07-01T14:22:03Z,1
14,UgyK1Nrunc-YipjU7FN4AaABAg,Gelu122,еще не было,2021-07-01T10:28:15Z,0
15,UgwII78xR8ix8B6l6ld4AaABAg,Джозеф Джостар 1,@Gelu122 даже если паспотра нету?,2021-07-01T11:44:42Z,0
16,UgwII78xR8ix8B6l6ld4AaABAg,Gelu122,с киви можно кидать на яндекс деньги и вебмони,2021-07-01T10:29:01Z,0
17,Ugycu_0mb_oHQAVHswl4AaABAg,Gelu122,"там нет. Про этот корабль уже сделал видео Антонов, на канал которого предлагается подписаться в начале видео",2021-07-01T10:34:15Z,0
18,Ugywc5QQGJYOsPZErSd4AaABAg,Член Культа,@Гос Тайна именно так.,2021-07-01T21:44:27Z,0
19,Ugywc5QQGJYOsPZErSd4AaABAg,Гос Тайна,@Член Культа мы как пример))),2021-07-01T18:38:16Z,1
20,Ugywc5QQGJYOsPZErSd4AaABAg,Член Культа,"Ну, те самые вахафаги и D&Dшники тут всё же есть.",2021-07-01T14:09:06Z,1
21,Ugywc5QQGJYOsPZErSd4AaABAg,Гос Тайна,Не все но многие,2021-07-01T09:42:30Z,1
22,Ugz4aGkQBAhsjuIhhip4AaABAg,Gelu122,в описании ссылка,2021-06-30T18:14:52Z,1
23,Ugw6a0OPg3gvO211Itp4AaABAg,Gelu122,"@Леонид Короткевич Республика тоже была конфедерацией. Присмотрись. У каждого планетарного правительства есть право вести самостоятельную независимую внешнюю и внутреннюю политику без оглядки на центр. Есть право принимать собственные законы, которые выше общереспубликанских. Сенат не имеет права лезть в культурные и религиозные заморочки отдельных правительств. И так далее.",2021-07-01T08:39:15Z,0
24,Ugw6a0OPg3gvO211Itp4AaABAg,Леонид Короткевич,"@Gelu122 нет, Республика была федеративной, конфедерацией были, как раз таки, КНС - конфедерация независимых систем.",2021-07-01T06:06:49Z,0
25,Ugw6a0OPg3gvO211Itp4AaABAg,Gelu122,"в том-то и дело, что формально Галактическая Республика это конфедерация, но выходить никому не дают",2021-06-30T17:51:03Z,1
26,UgzViaiqexBtpTVMfjB4AaABAg,tarickonelove oneclick,[САРКАЗМ],2021-06-30T17:48:08Z,0
27,UgyUji4-m4jyIKroteJ4AaABAg,Дмитрий Б.,"В ВК для этого использовались загоняемые в атмосферу Акламаторы, они возили и Джаггернауты и АТ-АТ,  а из ангаров ИЗР дропали Джаггернауты и АТ-АТ при помощи АТ барж ( они так и назывались) что то типа десантного ковчега Титаникус Вахи, прилетела огромная коробка и разложилась аппарелями посреди поля выпуская крупняк, но минус она была уязвима если противник имел ПВО или банально не было места для посадки)",2021-06-30T18:00:46Z,0
28,Ugw4ZnnEDMKenaOZFdV4AaABAg,меня зовут,Не ну серьезно после 3 часового видео этот не жуя глотаеш,2021-06-30T17:48:03Z,1
29,UgwGqQR7qxoOC6ICAHd4AaABAg,Дмитрий Б.,Ну крейсер же Лёгкий),2021-06-30T17:41:11Z,1
30,UgwyXgyhqzaoOKyyI6Z4AaABAg,Hottoite,В этот момент я хочу назвать танкиста расхитителем но 🥞 👅 не поворачивается,2021-06-30T17:38:44Z,0
31,UgwydUur8rFbgKqSjGt4AaABAg,Gelu122,главная тема из Metal Gear Solid,2021-06-30T17:42:50Z,0
32,UgyUTGZ5Zlh9g7jo1NF4AaABAg,Дмитрий Б.,"Этого никто не знает, хотя возможно туда посылали Спейс труперов их зачищать))) Жаль об этом ничего в каноне ЗВ нет было бы прикольно мужики в силовой броне увешанные торпедами и гранатами изгоняют шлемазых из такой тюряги)",2021-06-30T19:16:14Z,1
33,UgyfLdYmYWn0YNKpbI94AaABAg,Артём Гайдаров,"@Gelu122 хм, а вот по ним я точно помню, что появились парой месяцев позже. Придётся поднимать источники (как же я не люблю английский...)",2021-07-01T06:11:06Z,0
34,UgyfLdYmYWn0YNKpbI94AaABAg,Gelu122,@Артём Гайдаров Венатор еще до войны. Как и Аккламатор,2021-06-30T17:53:23Z,1
35,UgyfLdYmYWn0YNKpbI94AaABAg,Артём Гайдаров,"@Gelu122 хм, а венатор когда появился?",2021-06-30T17:45:58Z,1
36,UgyfLdYmYWn0YNKpbI94AaABAg,Gelu122,"Карака была еще до, а Победа в середине войны появилась",2021-06-30T17:43:25Z,2
37,UgypwQr-H0rOizsaePh4AaABAg,Дмитрий Б.,"@Temirzhan Tishtibayev естественно, тогда что то сильно гигантское не строили массово.",2021-06-30T18:38:47Z,0
38,UgypwQr-H0rOizsaePh4AaABAg,Temirzhan Tishtibayev,@Дмитрий Б. Ну таких кораблей у республики как я понял было больше а вот больших было меньше,2021-06-30T18:35:54Z,1
39,UgypwQr-H0rOizsaePh4AaABAg,Дмитрий Б.,"@Temirzhan Tishtibayev 350 метров Молотоглавы ( не сильно большие крч) Преторианцы ( его предки) ещё меньше 150 метров,но стоит заметить в период Ситских Войн у Республики были 3х километровые линкоры ( как Флагман Улика Кель Дрома Опора-1) А потом были километровые Центурионы такие как Разоритель Нихилуса который бывший Республиканский корабль.",2021-06-30T18:26:35Z,0
40,UgypwQr-H0rOizsaePh4AaABAg,Temirzhan Tishtibayev,@Дмитрий Б. Мда хотя кто знает какого размера были эти корабли,2021-06-30T18:11:10Z,1
41,UgypwQr-H0rOizsaePh4AaABAg,Дмитрий Б.,"Точно не знаю но в Которе говориться что даже на локальную войну в пределах сектора посылали до 12 флагов, что говорит о том что кораблей у Старой Республики было очень дохрена наверное даже под триллион ( ведь Неудивительно что некоторые Молотоглавы дожили до периода фильмов)",2021-06-30T17:50:28Z,0
42,UgykPl8mbRkVSLtL90d4AaABAg,Дмитрий Б.,Там бы истребителей хватило) Особенно учитывая что МС-85 уже почти слили),2021-06-30T18:39:31Z,0
43,UgyuGIoN77ocipw-jg94AaABAg,Дмитрий Б.,@Gelu122 так и есть),2021-06-30T17:47:48Z,1
44,UgyuGIoN77ocipw-jg94AaABAg,Gelu122,кажется такими словами начинаются все ролики на канале Культ Ереси :),2021-06-30T17:44:08Z,2
45,UgzpcOD9K9-SBO_GAoB4AaABAg,Дмитрий Б.,Огненную призму Танкиста ещё надо догнать для этого))),2021-06-30T17:40:34Z,1
46,Ugx7XtXkjIc5yiH0rkN4AaABAg,Дмитрий Б.,Было бы интересно но их уж больно дофига),2021-06-30T17:37:02Z,1
47,UgzyYV3wZVKidGw-hCB4AaABAg,Дмитрий Б.,Потому что места для жрачки и воды для 100-150 человек мало),2021-06-30T17:43:22Z,0
48,UgwDEomFQmHI63mgXH14AaABAg,Neil Dixson,"@Член Культа думаю, что в ролике про Талон задр*чивать будут не на игровые кодексы, а на саму Талон.",2021-07-01T14:32:50Z,0
49,UgwDEomFQmHI63mgXH14AaABAg,Neil Dixson,@Член Культа согласен. Надо пожалеть молодое поколение. 20 часиков хватит.,2021-07-01T14:29:31Z,0
50,UgwDEomFQmHI63mgXH14AaABAg,Член Культа,"@Neil Dixson не, очень даже интересует. Только если разбирать и их, то ролик растянется на несколько суток. А некоторые люди не обладают опытом задр*чивания игровых кодексов по 7 дней в неделю с перерывами на учёбу, чай и мат. Пощадим их, не будем такими жестокими, ролик нужен всего на 10-15 часов. Мы же не звери.",2021-07-01T14:12:30Z,0
51,UgwDEomFQmHI63mgXH14AaABAg,Neil Dixson,"А, то есть устройство её латексно-кортозисных гетр вас не интересует? Не один мужчина пал во время тщетных попыток снять хотя бы один из них, не говоря уж о двух сразу. Про юбку с вставками из фрика я вообще молчу...",2021-07-01T13:49:23Z,0
52,UgwDEomFQmHI63mgXH14AaABAg,Татаринцев Вячеслав,Даже Реван поддерживает эту идею)),2021-06-30T22:56:24Z,5
53,UgwT2lfcbxctQe4mJzV4AaABAg,Gelu122,Вот ссылка - https://www.youtube.com/channel/UC63BRT83od-WXrhbdB1PnoQ,2021-06-30T17:48:15Z,0
54,Ugxv-Sim9LfqwrKAt_p4AaABAg,Дмитрий Б.,@_crossowok_ но что то по Кригу и я бы глянул например Махарий),2021-06-30T18:44:50Z,0
55,Ugxv-Sim9LfqwrKAt_p4AaABAg,_crossowok_,@Дмитрий Б. понятно,2021-06-30T18:40:00Z,1
56,Ugxv-Sim9LfqwrKAt_p4AaABAg,Дмитрий Б.,@_crossowok_ там будет не 3 а 30 часов в том то и дело))),2021-06-30T18:33:25Z,0
57,Ugxv-Sim9LfqwrKAt_p4AaABAg,_crossowok_,@Дмитрий Б. а мы не боимся 3 часовых видео,2021-06-30T18:30:56Z,0
58,Ugxv-Sim9LfqwrKAt_p4AaABAg,Дмитрий Б.,Про всё слишком много) Спасибо Враксу Криговцы очень проработанные ребята),2021-06-30T18:06:29Z,0
59,UgwLZNfSvb4V5PhEthh4AaABAg,Мирас Несипбек,И кстати привет,2021-07-01T12:22:42Z,1
60,UgwLZNfSvb4V5PhEthh4AaABAg,Мирас Несипбек,Они стопудово есть,2021-07-01T12:22:33Z,1
61,UgzlWePRc6BLCbNvy2V4AaABAg,Дмитрий Б.,Адмирал Ниида на Караке качественно заломал Незримую Длань Гривуса... У него были стальные яйца и хороший фрегат),2021-06-30T18:35:56Z,1
62,Ugwh_bs_Y59RDKbJOxp4AaABAg,Qwerty Koper,"Мало, нужен месячный, ну или хотя бы недельный",2021-07-01T19:59:45Z,0
63,Ugwh_bs_Y59RDKbJOxp4AaABAg,Maybe Vinyl,"5 часов уже было, давай на 7",2021-07-01T09:20:52Z,0
64,Ugwh_bs_Y59RDKbJOxp4AaABAg,Святослав Донцул,"@Іван Тарасенко Во первых: это просто шутка. Во вторых: я писал этот коммент под предыдущем видео. Просто к сведению. И втретьих: я настоятельно порекомендовал бы тебе, выучить, если не оба, то хотябы один язык - русский или украинский. Мне больно смотреть, когда кто-то пишет на суржике, да к тому же с тонной грамматических ошибок.",2021-06-30T21:43:37Z,0
65,Ugwh_bs_Y59RDKbJOxp4AaABAg,Mr. Komisar,"@Комиссар довольно обидно слышать как тебя называют армагеддонцем особенно когда ты сам криговец.Возможно вы не заметили мой шеврон 22 гренадёрского полка? Чтож это простительно, видно что вы не давно получили свое назначение в полк Крига и еще не освоились сдесь. Просто я  наслышан о методах других комиссаров в частности о любви к розстрелам подчинёных для поднятия боевого духа (никогда не мог понять как это может подымать боевой дух солдат) да и зачем ведь сражаться за Императора это честь и этим нужно гордиться а не бояться. Моему же гринодёрскому штурмовому полку поднятие боевого духа не требуется, я всегда веду их в бой лично.",2021-06-30T20:29:10Z,0
66,Ugwh_bs_Y59RDKbJOxp4AaABAg,Комиссар,"@Mr. Komisar а у меня другие методы. Это у вас, на Армагеддоне принято солдат в расход пускать, а у нас, на Криге  , так не принято. У нас в отличие от вас, процент дезертирства почти нулевой. Так что завидуйте молча, товарищ.",2021-06-30T19:51:27Z,0
67,UgyLuvmFUaB8biHR05h4AaABAg,Darth Revan,1 часть из 5,2021-06-30T17:27:48Z,1
68,UgxvyuORcTP21lb2sJl4AaABAg,Смирнов Денис,"Какой оксюморон? Лёгким крейсер делает калибр его орудий, а не суммарная масса или скорость.",2021-06-30T18:48:37Z,0
69,UgyT1GutfLg7J5bdlTB4AaABAg,Дмитрий Б.,"Пока Вархаммер не сильно выбирают, а стоило бы я всё мечтаю о Титанах от Танкиста, это было бы действительно мощно)",2021-06-30T17:38:04Z,1
70,UgzZoZFnjOt6DuFswZN4AaABAg,Александр Комаров,"пожалей человека)) не все же по 2,5 часа годный контент пилят)) танкист один из немногих))",2021-07-01T12:02:30Z,0
71,UgyZYD4zx2l2J8pK2jt4AaABAg,Дмитрий Б.,Так крейсер лёгкий),2021-06-30T17:39:15Z,0
72,Ugwq5I-g_TDvs3NMio14AaABAg,Gelu122,Описание уже обновилась. Вот ссылка на канал - https://www.youtube.com/channel/UC63BRT83od-WXrhbdB1PnoQ,2021-06-30T17:49:22Z,0
73,Ugwq5I-g_TDvs3NMio14AaABAg,Дмитрий Б.,"Вбей в поиск"" Наши любимые миры"")",2021-06-30T17:39:33Z,0
74,UgwBOwlX2sBrKlUHgmt4AaABAg,Neil Dixson,"Он сказал в этом видео: ""Перетащили в новый канон без изменений, за что им спасибо"".",2021-07-02T10:00:28Z,0
75,UgwBOwlX2sBrKlUHgmt4AaABAg,Дмитрий Б.,Он просто член Кабала а цели этих Эльдар Никто не знает возможно и да))),2021-06-30T18:28:32Z,0
76,UgyS54d5_mRh7DBcznJ4AaABAg,Иван Иванов,"@Basax Basax 
Оттянешся ;)",2021-06-30T16:53:05Z,0
77,UgyS54d5_mRh7DBcznJ4AaABAg,Basax Basax,"@Иван Иванов это уж точно, пару дней без остановок смотреть можно будет!)",2021-06-30T16:50:23Z,1
78,UgyS54d5_mRh7DBcznJ4AaABAg,Иван Иванов,А вот когда вернешся дел то будет!!!,2021-06-30T16:46:06Z,0
79,UgwxhKje_eegDYqH_pt4AaABAg,Павел Великий,"@Гос Тайна Да я бы только за, боюсь только задолбаться кофе доливать и останавливаться для гугления той или иной мелочи, хотя если по вахе, то и 8 часов просижу, в конце концов кому как не слаанешитам смотреть как эльдары голоса срывают)",2021-07-01T19:05:43Z,0
80,UgwxhKje_eegDYqH_pt4AaABAg,Гос Тайна,@Павел Полторанин ачë не 7,2021-07-01T09:43:30Z,0
81,UgwxhKje_eegDYqH_pt4AaABAg,Скион,Маловато будет понимаешь маловато будет,2021-07-01T07:44:39Z,1
82,UgwxhKje_eegDYqH_pt4AaABAg,Павел Полторанин,"Да что вы мелочитесь, стране необходимо видео длинной в 4 часа!",2021-07-01T04:47:06Z,3
83,UgwxhKje_eegDYqH_pt4AaABAg,Лис Большевик,"Это видео-разминка.

Как кардио в спортзале перед силовыми.",2021-06-30T23:29:31Z,6
84,Ugyw_pThp5KGVFpTmwt4AaABAg,Сын Льва,А на счёт автономности. Кажись это было запланировано. Чтобы экипаж не раслаблялся,2021-06-30T17:16:19Z,0
85,Ugyw_pThp5KGVFpTmwt4AaABAg,Александра Платонова,Я буквально 40 минут его смотрел,2021-06-30T16:53:14Z,0
86,UgzoXOygqxiT2uIp7rl4AaABAg,Thrawn,"@Delod _, ничего против",2021-06-30T17:33:27Z,0
87,UgzoXOygqxiT2uIp7rl4AaABAg,Delod _,"@Thrawn имеешь что то против ? Он сможет все подробно , и интересно расказать.",2021-06-30T17:30:44Z,0
88,UgzoXOygqxiT2uIp7rl4AaABAg,Thrawn,"Это видео будет длится 2846464463528905049384 лет с обзором каждой каюты, каждого санузла в деталях",2021-06-30T16:59:37Z,1
89,UgyESx0BwIl3DzX7foJ4AaABAg,Александра Платонова,Агвсь,2021-06-30T16:26:57Z,1
90,UgwKQV9McdcBFEBBuEN4AaABAg,Супер Военный ЧЕЛОВЕК,"@Лис Большевик согласен, по этому так жду его роликов",2021-07-02T04:16:35Z,0
91,UgwKQV9McdcBFEBBuEN4AaABAg,Хто Я,Ага),2021-07-01T05:49:16Z,0
92,UgwKQV9McdcBFEBBuEN4AaABAg,Лис Большевик,Большая часть гик блоггеров такие едва в принципе способны выпускать.,2021-06-30T23:30:39Z,2
93,UgwKQV9McdcBFEBBuEN4AaABAg,Jlucmonag,"это анонс, скорее всего",2021-06-30T22:13:08Z,1
94,UgwKQV9McdcBFEBBuEN4AaABAg,Юрий Седых,"@Супер Военный ЧЕЛОВЕК так, слыш. А ну выйди отсюдова , ибо это не шутки!",2021-06-30T20:50:33Z,0
95,Ugy3UvjBqgHtwdeqqyN4AaABAg,Лис Большевик,Ютуб при обработке ролик сжал).,2021-06-30T23:33:56Z,0
96,Ugy3UvjBqgHtwdeqqyN4AaABAg,Захар Муравей,Не каркай!(Хотя.......),2021-06-30T17:54:51Z,1
97,Ugy3UvjBqgHtwdeqqyN4AaABAg,Егор Молчанов,Он же сказал в начале видео: «промежуточная статья» или как-то так,2021-06-30T17:46:50Z,3
98,Ugy3UvjBqgHtwdeqqyN4AaABAg,• 15 years ago,Найди хотя бы на 20 минут материал,2021-06-30T16:40:19Z,0
99,Ugy3UvjBqgHtwdeqqyN4AaABAg,NikMiner,@DiKiJ я вообще думал что будет 12 часовой стрим-рассказ,2021-06-30T16:29:46Z,0
100,Ugz119zaoMJFrtmedV94AaABAg,Александра Платонова,Да деже не час,2021-06-30T16:29:56Z,3
101,Ugx5g5OOJ_KYwnnkzmZ4AaABAg,Elst,@Erwin Rommel ну да ато надоело 3й раз переслушивать серию видео про наёмников),2021-06-30T18:13:30Z,3
102,Ugx5g5OOJ_KYwnnkzmZ4AaABAg,Erwin Rommel,"Правильно, что мне весь день слушать?",2021-06-30T16:42:26Z,4
103,Ugx5g5OOJ_KYwnnkzmZ4AaABAg,Darth Plagueis,@дверь стулович И не раз. Всё зв комьюнити в труху. Но потом...,2021-06-30T16:42:04Z,12
104,Ugx5g5OOJ_KYwnnkzmZ4AaABAg,дверь стулович,"@Александра Платонова обязательно бахнет, когда нибудь",2021-06-30T16:27:06Z,5
105,Ugx5g5OOJ_KYwnnkzmZ4AaABAg,Александра Платонова,Ты что щас забабахает,2021-06-30T16:25:22Z,0
106,UgyQrg4THnzMe8-k3vB4AaABAg,Морган Кейн,И тебя вылечим! И меня вылечим! Всех вылечим!©,2021-06-30T18:03:35Z,3
107,UgwcJ66uFfHEHsn36op4AaABAg,Дмитрий Б.,"@DAmiks miks увы да, но в фильм и не сунешь такой объем информации)",2021-06-30T18:03:11Z,1
108,UgwcJ66uFfHEHsn36op4AaABAg,DAmiks miks,@Дмитрий Б. Главное что информативно в самих фильмах и т.д. Почти ничего не сказано про сами корабли,2021-06-30T18:00:32Z,0
109,UgwcJ66uFfHEHsn36op4AaABAg,Дмитрий Б.,@DAmiks miks ну мы можем подождать собственно) У JJ Case видео вообще по 6 месяцев мутиться но по итогу как же они охрененны),2021-06-30T17:53:58Z,0
110,UgwcJ66uFfHEHsn36op4AaABAg,DAmiks miks,@Дмитрий Б. Ну по сути верно,2021-06-30T17:50:44Z,1
111,UgwcJ66uFfHEHsn36op4AaABAg,Дмитрий Б.,У крупных корабликов большая история) А там видео на три часа и делаеться три недели),2021-06-30T17:27:11Z,1
112,UgxIkZVa54NgE109GpN4AaABAg,Мирас Несипбек,@Влад Гаврилов наверно через год,2021-07-01T04:41:57Z,2
113,UgxIkZVa54NgE109GpN4AaABAg,Кирилл Беликов,"@Влад Гаврилов мелковато, это только про пушку что ли?",2021-06-30T17:36:00Z,4
114,UgxIkZVa54NgE109GpN4AaABAg,Влад Гаврилов,согласен.Мы дождались новый видео от Эльфийского танкиста.Вопрос: когда будет видео про звезду смерти на 10 часов ? Вот вопрос,2021-06-30T17:10:16Z,6
115,UgxjQRCVWn7sUlBx4MV4AaABAg,Дмитрий Б.,"@Национал Гачиист ты же Гачист, докажи что ты     ♂️Dungeon master ♂️ досмотри видео)",2021-06-30T18:37:32Z,0
116,UgxjQRCVWn7sUlBx4MV4AaABAg,Национал Гачиист,@Mandalor Great а если фанат?,2021-06-30T16:20:22Z,1
117,UgxjQRCVWn7sUlBx4MV4AaABAg,Ал Хаттович Родригес,Зато с супер интересной подачей от Танкиста🙂,2021-06-30T16:14:47Z,1
118,UgxjQRCVWn7sUlBx4MV4AaABAg,Mandalor Great,"Значит ты не фанат, можешь не смотреть, тебя никто не просит",2021-06-30T16:14:44Z,2
119,Ugxyr0Ytntw-vqBf6Vd4AaABAg,Star Wars Space,Так эт крейсер то легкий ну и видео соответственно тоже легкое,2021-06-30T16:13:12Z,6
120,UgzSwyyRaL4MJijt6Z14AaABAg,Всеволод Гречуха,Мороженка же,2021-06-30T16:28:39Z,1
121,Ugx_5jK80PZ1P9B5KvF4AaABAg,Юрий Седых,@Александра Платонова и это минимум,2021-06-30T20:49:57Z,1
122,Ugx_5jK80PZ1P9B5KvF4AaABAg,Александра Платонова,Гдето на 8 часов,2021-06-30T16:26:28Z,4
123,UgyohgekoS4lvh9zF-p4AaABAg,Splash,"Ради этого ты со своими друзьяшками, Эйсидиси и ваму, восстал из камня? Ничего себе",2021-06-30T16:54:32Z,2
124,UgxN-ay2kCchC8_tAch4AaABAg,Александра Платонова,Сам офигел меньше часа как?????,2021-06-30T16:27:39Z,1
125,UgyCNr_Yk3K3kXSNi8p4AaABAg,Александра Платонова,Это ещё мало,2021-06-30T16:24:38Z,1
126,UgxUYXNqnjBWYp9mNbV4AaABAg,Александра Платонова,Нето слово,2021-06-30T16:24:55Z,2
127,Ugx89w88qLwk9dcM5aN4AaABAg,Хто Я,Ахахах),2021-07-01T05:48:54Z,0
128,Ugx89w88qLwk9dcM5aN4AaABAg,Thorgrim Grudgebearer,"@Петр Воробьев погоди, он Эльф? Интересно сколько раз его имя прописано в Великой Книге Обид.",2021-06-30T20:40:53Z,1
129,Ugx89w88qLwk9dcM5aN4AaABAg,GIPSY,"Роммель,тебя сс расстреляли ты как комм написал?",2021-06-30T18:45:27Z,0
130,Ugx89w88qLwk9dcM5aN4AaABAg,Іван Тарасенко,"@AdamNotEva Да, там непросто ""Ружье Чехова"" Там цілий огромений склад винтовок у кожної з яких своє життя: деякі винтовки переплавляють а деякі модифіцирують",2021-06-30T18:37:56Z,1
